node1,node2,node3,Fxx,Fxy,Fyx,Fyy,Pxx,Pxy,Pyx,Pyy
144,441,443,1.1729634654892744,-0.047525334777441808,-0.051038906759398373,1.2769499536996953,1.9470933203588687,-0.038436201171809903,-0.044146046235473954,2.0342186080140059
441,442,443,1.1745809474599969,-0.050924033856378781,-0.054161309675070157,1.2835108354317004,1.9894339951282656,-0.039172784168222771,-0.044527167641725401,2.0761961074029052
441,199,442,1.1732788084713421,-0.05336278987831311,-0.057837738443309306,1.276625308713073,1.9437321186783232,-0.043135451552866064,-0.050394994818146077,2.0306565644915135
443,442,201,1.1678753028314723,-0.048371768787319525,-0.051974216331478473,1.2826783961580968,1.9424117850453173,-0.039110585961264197,-0.044962887310477137,2.0385979432347301
199,444,442,1.1751827639637691,-0.057363435261434947,-0.061373191545968986,1.2840541032351362,1.9918474303066531,-0.043827783170841114,-0.050464118078606721,2.0783050453450378
444,445,442,1.1677096620657543,-0.054519064885663937,-0.058680389873170924,1.2830291840770069,1.9391841983519265,-0.044195288399794613,-0.050945284240377628,2.0361066206737992
444,200,445,1.1693185011063576,-0.057899407323196428,-0.062354218566851749,1.290748290046003,1.9871026386488211,-0.044039216066562012,-0.051410440078981379,2.083485857984865
442,445,201,1.1693440624212217,-0.051457789356476269,-0.055223133484282094,1.2895047176548298,1.9852612874173179,-0.039349253910047025,-0.045575973407716769,2.0809172930894659
199,446,444,1.1736436507189998,-0.06024601671151153,-0.065382607295331852,1.2765449303370149,1.9408456970686214,-0.048841440356210339,-0.057161064282809829,2.0276713982677013
446,447,444,1.1757176519837425,-0.064603967103408433,-0.069366795905022371,1.2849166206576337,1.9943458572899024,-0.049074705054552858,-0.056962553176204869,2.0807763513752211
446,153,447,1.1740254083994559,-0.067773344003811076,-0.073756753758118521,1.2766947363245857,1.938061413113549,-0.055045342428828303,-0.064720979188534811,2.0249427757563101
444,447,200,1.1674241913385806,-0.061447356355468052,-0.066126355848944662,1.2836832624315906,1.9356819223130162,-0.049992711558074276,-0.057570004181014614,2.0337047923854246
201,445,449,1.1628812483879298,-0.048997949114595318,-0.052399505502945587,1.2884300041166057,1.9383422813308033,-0.039686262075490961,-0.045211602882060109,2.0434615010355337
445,448,449,1.1641039893108331,-0.051567136236297273,-0.055730320135554567,1.2954286134692357,1.980645622249225,-0.039267236268505701,-0.046149364897790937,2.085189601429656
445,200,448,1.1621747830510616,-0.055180170468569045,-0.058926163528965958,1.2894434102164016,1.9348633875131975,-0.044866344734202909,-0.050942440978860193,2.0417238237475539
449,448,180,1.1582152775799623,-0.049325807611673822,-0.052209058041000844,1.294088370324721,1.9359415914670313,-0.040066125012534301,-0.044751868401534237,2.0494443081101639
180,448,451,1.1581316690173797,-0.049150126924170756,-0.055808306264879093,1.3016512129682756,1.9731788193802844,-0.036397986513452316,-0.047390173781995656,2.0877502567456605
448,450,451,1.1567321534034494,-0.054778503117795641,-0.057183349325327093,1.296121257068104,1.9331041749242461,-0.044871993399210094,-0.048776840444211989,2.0496941269823017
448,200,450,1.1627186120952793,-0.056322879509620449,-0.062792950241382428,1.2975684123343978,1.9785405293394416,-0.042094900529413545,-0.052783715085426314,2.0859516298570666
451,450,203,1.156435119762167,-0.054154403753183367,-0.061045989814568991,1.3042370767599394,1.9717114890888152,-0.040271809696173472,-0.0516464130432394,2.0896424508146731
200,452,450,1.1613548268485454,-0.061806822525575345,-0.064419348594359604,1.2910284707194439,1.9332666345403258,-0.050896599258111422,-0.055131657451294669,2.0421907211920862
452,453,450,1.1612314696953496,-0.061547628117810227,-0.068729393352098267,1.3000846094959613,1.9774841775946754,-0.045908165432737486,-0.057770627118093859,2.0879881307399688
452,202,453,1.1596770197416504,-0.067798888445534833,-0.070400328487226105,1.2933649010257293,1.9293717928100786,-0.056060824940112913,-0.060272348874138931,2.0419074198234113
450,453,203,1.1549967260477656,-0.059939134454730425,-0.062479448260385873,1.2984721940314512,1.9298191735225489,-0.049213175368872125,-0.053333872540822114,2.0500050584010552
200,447,452,1.1684686128214159,-0.063641736783682568,-0.07035046945313006,1.2925583309474327,1.9858051063097695,-0.047630021550896073,-0.05872508433183822,2.0843002015164731
447,454,452,1.1670434380198902,-0.069373305509905281,-0.07229534794524195,1.2847366905916242,1.9330813026016016,-0.057474723169209943,-0.062200924793990836,2.0325035524705766
447,153,454,1.1758706547334321,-0.07165062803492539,-0.078324244696426071,1.2862920780730978,1.9960161852362661,-0.053656251388670639,-0.064712753202834011,2.0831672774709395
452,454,202,1.1672202772568738,-0.069744885139686019,-0.077241548248335512,1.2951297872187588,1.9855189078846256,-0.052035185266888426,-0.064433641569534669,2.0868715988990099
203,453,456,1.1545123056121853,-0.058921256470291894,-0.066596880625436228,1.3071238599170591,1.9698752190405673,-0.043725911617166754,-0.056389995988429933,2.0916014063777855
453,455,456,1.1529242828782165,-0.065306885147520588,-0.068033948300608493,1.3013452395224014,1.9263549406509766,-0.05370748789413643,-0.058126747290415254,2.0508370197143186
453,202,455,1.1592699811654552,-0.066943680562691732,-0.075061316179111159,1.3031578632879217,1.9754547342035376,-0.04978994116704373,-0.063191897120080817,2.0899346314074068
456,455,128,1.1518733325895507,-0.063098659433785897,-0.072256618606512113,1.3102177896807454,1.9640081671027236,-0.046643463114950628,-0.06172560672181697,2.0907829909383482
0,457,5,0.54401659166533811,-0.27672527203152875,-0.69443513883017483,3.7321114194913942,1.4284650774557504,-0.014278240515150697,-0.43857269649126307,2.9150698791952694
457,458,5,0.63303379701144991,-0.68477377608584633,-0.56299899634580397,3.1296175407981019,-1.0585198103500781,-0.88250127532677602,-0.8395084146271119,2.3869323533510367
457,204,458,0.77723913090266095,-0.65608977044202632,-0.82525842466385235,3.077451294799916,2.786567701001597,0.055099290077098129,-0.1993134373474017,3.0105009645335468
5,458,6,0.8001169823185954,-0.80698010083364213,-1.0324055214065018,3.4729462015179191,3.4213358582876001,0.25843214040860074,-0.089611364119205117,3.1760207388159856
204,459,458,0.79963024286874607,-0.75947956677660367,-0.69004790804984095,2.4531237582225063,-1.2706646161157549,-1.3503459279554282,-1.3391062131502514,1.7972259567793727
459,460,458,1.0455365608720788,-0.93023473791087419,-0.99044586263447632,2.6617174395885543,3.207604995615092,0.10799204199616286,0.0053488056700627951,3.1122329120298993
459,205,460,1.0222881807799959,-0.82288869943545651,-0.86954101076104973,2.1034567422985,-0.43695570783590298,-1.4761594601743304,-1.4914107632784397,1.4588061133880028
458,460,6,0.84481800297521303,-1.0133716615272514,-0.86771652410151523,2.7125515017201969,-2.8774437686228764,-2.1396279401802678,-2.1988821122249025,1.4302652592823988
204,461,459,0.95584943187768445,-0.69477449191259755,-0.7730786957754523,2.4187328913265338,2.7075182093147059,-0.035274490191170349,-0.16557027676723268,2.9076829737235217
461,462,459,0.94219183717233079,-0.63850695446425121,-0.67699546624213536,2.0228823164222236,0.37154975671176205,-0.89698463201484202,-0.92607092449482931,1.8691971589914933
461,154,462,1.0294759197278402,-0.60235439771357413,-0.6574386160600536,2.0309826494425383,2.4015842252524768,-0.14682930663488158,-0.23879776559997423,2.7081489575385556
459,462,205,1.1216389255553496,-0.78173234880019393,-0.80924292839386958,2.1284354077946581,2.7110925585578114,-0.093793720850066986,-0.14094775275883475,2.8596409950124184
6,460,7,1.2017115110948318,-1.2611796144903273,-1.2612365597282738,2.9857909758490999,4.2572873436484633,0.50722758135050938,0.50712154923356145,3.5398484560997057
460,463,7,1.1678947905382708,-1.104267619396146,-1.0810804732244188,2.149853886254665,-2.3623943527387636,-2.9306244761460665,-2.9451931093878576,0.27783149611742197
460,205,463,1.300206938760172,-1.0158607679607972,-1.0073311249350576,2.1991309009905815,3.189592426449456,0.068290351936768801,0.083675048410929431,3.1220727115464095
7,463,8,1.6255625623351104,-1.4039093542219403,-1.2264516089530098,2.2450304793809259,3.6386002566474946,0.18884017626742677,0.51488457298361201,3.4728682865128939
192,464,466,1.1511374961815548,-0.086212190881651551,-0.096380093408228618,1.3125992081372448,1.9492799823874229,-0.06581226922083,-0.082442768306890402,2.0803781405509847
464,465,466,1.1452696692561661,-0.089134169643966477,-0.087585392804812923,1.3169786707067561,1.9340581621377313,-0.073877389367675184,-0.071355545935699871,2.0751732823492173
464,206,465,1.1405166258037602,-0.0823968249636442,-0.092648763146864432,1.3241558975888816,1.9386645408224854,-0.062792578965371271,-0.079541651067070049,2.0879865239435458
466,465,208,1.1497263245393823,-0.079771891905016545,-0.089367231509211109,1.3132354893798457,1.9497113121381993,-0.06073376207052919,-0.076441971306740755,2.0823210191541501
206,467,465,1.1354052846642064,-0.08494209946587894,-0.083271034822079759,1.3288256881863574,1.9298711994015538,-0.070107028988080605,-0.067382421507438284,2.0879638781180558
467,468,465,1.1395213191071045,-0.076295377835279954,-0.085496912248473222,1.3241496965840351,1.9381888708061339,-0.058282260603544356,-0.073320995078599974,2.0883671985540015
467,207,468,1.1348736444536822,-0.078609762155766649,-0.076747808578641497,1.328506453427345,1.9306262680268658,-0.064968415825203296,-0.061930328267216991,2.0887888870591369
465,468,208,1.1439893436014417,-0.082628713804096865,-0.080805097134126314,1.3174991418566857,1.934448978687902,-0.068577062352782894,-0.065605214261701586,2.0769038331097263
206,469,467,1.1305445542574142,-0.078052110666784635,-0.087504437765044241,1.3348264527665759,1.9274319167981111,-0.059787681076220067,-0.075206013117294093,2.0940020005418631
469,470,467,1.1264558551038624,-0.080088144149721874,-0.077977002848149901,1.3395707921686228,1.9259089586961045,-0.066016813794091911,-0.062570888660167842,2.099280259304269
469,152,470,1.1217540828526982,-0.073423475378718628,-0.081340520935150096,1.3443385122447244,1.9178729170857665,-0.056773054081387372,-0.06967099727656037,2.0997270801460597
467,470,207,1.1302675631516474,-0.072080733404368935,-0.080626631839106899,1.3340046083509192,1.9272974349667882,-0.055327659330486667,-0.069271579041743733,2.0935335599864522
208,468,472,1.1481044774347851,-0.073983884120766952,-0.08247646064613523,1.3139880402776356,1.9483762146743038,-0.056533852048451724,-0.070439399120361637,2.0829967494877906
468,471,472,1.1428716578329052,-0.076589650776487161,-0.074460293951453149,1.3179798193697723,1.9348454893037841,-0.063685812030404534,-0.060213112330347374,2.0784781990031043
468,207,471,1.1386702043015386,-0.070634173852571536,-0.078818209378590076,1.324157077923017,1.9378817221836837,-0.054103685910419502,-0.067484401396388116,2.088785934592742
472,471,128,1.146448849568058,-0.069074898025448306,-0.075871921127369291,1.3150143565181658,1.9472290412379123,-0.053262739015180929,-0.064394635502825551,2.0840583631779581
147,473,475,1.1293769551795929,-0.11138371756620202,-0.11382915234129465,1.3366550893803497,1.8934228363247676,-0.092971821775973434,-0.096900330389068978,2.0681745965310885
473,474,475,1.1345576696262851,-0.10050005113725664,-0.11207422541103362,1.3403418471649484,1.9584610532141844,-0.074068673000471458,-0.093143655292886901,2.1203322448320328
